iter	RMSE
301	0.8017801075
302	0.8014826064
303	0.8009507579
304	0.8006173035
305	0.8002340219
306	0.7999381307
307	0.7993379538
308	0.799074628
309	0.7990351913
310	0.7985221438
311	0.798211742
312	0.798080201
313	0.7977265928
314	0.7971936832
315	0.7968535799
316	0.7965595246
317	0.7959641795
318	0.795623457
319	0.7951862596
320	0.7947380989
321	0.7944405464
322	0.7940790988
323	0.7938973405
324	0.793665617
325	0.7933620194
326	0.7929708299
327	0.7926028241
328	0.792511976
329	0.7920782524
330	0.791652414
331	0.7913209059
332	0.790862234
333	0.790623306
334	0.7904259466
335	0.7899052927
336	0.7895010811
337	0.7894154142
338	0.7888637269
339	0.78850718
340	0.7883939764
341	0.7879363852
342	0.7875435999
343	0.7872587454
344	0.7869510033
345	0.7866577363
346	0.7862334402
347	0.7860237699
348	0.7856176951
349	0.7852082426
350	0.7849699082
351	0.7846077576
352	0.7839794256
353	0.7835369087
354	0.7829620828
355	0.782635477
356	0.7821003575
357	0.7817062825
358	0.7813539543
359	0.7810238383
360	0.7808594566
361	0.7804015012
362	0.7801412068
363	0.779867786
364	0.7796367719
365	0.7793467264
366	0.7789174184
367	0.7787124052
368	0.7782288893
369	0.7777641745
370	0.7774177033
371	0.7770907959
372	0.776687029
373	0.7763438144
374	0.7761308955
375	0.776119984
376	0.7756695418
377	0.7755164339
378	0.7750262918
379	0.7746948903
380	0.77426995
381	0.7739481388
382	0.7738150109
383	0.7735350294
384	0.7732156602
385	0.772834743
386	0.7723370809
387	0.7718108041
388	0.7714639738
389	0.7710977112
390	0.7707003007
391	0.7701962914
392	0.769655474
393	0.7693118623
394	0.7690258641
395	0.7686511009
396	0.7681397571
397	0.7677584452
398	0.7672894927
399	0.7669767843
400	0.7663710155
401	0.7659288647
402	0.7653643303
403	0.7649644447
404	0.7649552149
405	0.7646742201
406	0.7643320322
407	0.764019963
408	0.7637126173
409	0.763268223
410	0.7628972699
411	0.7625458102
412	0.7620872153
413	0.7617791058
414	0.7615396215
415	0.7610130819
416	0.7609166362
417	0.7604579909
418	0.760108191
419	0.7595863077
420	0.7592904261
421	0.7588706426
422	0.7586123324
423	0.7582796844
424	0.757775983
425	0.7576190901
426	0.7574109457
427	0.7571276104
428	0.7567960332
429	0.7562944649
430	0.7559150786
431	0.7552970477
432	0.754773528
433	0.7543226672
434	0.7540308417
435	0.753765738
436	0.7533993311
437	0.753159273
438	0.7527046626
439	0.7523216366
440	0.7520380588
441	0.7517866564
442	0.7513387215
443	0.7508972245
444	0.7504727233
445	0.7503635707
446	0.7499928101
447	0.7496962308
448	0.7492246881
449	0.7487953258
450	0.7486043666
451	0.7483173427
452	0.7479171437
453	0.7475366371
454	0.7471876536
455	0.7470364629
456	0.7468731004
457	0.7467550132
458	0.7463411541
459	0.7460862909
460	0.7456344128
461	0.7453828401
462	0.7451021267
463	0.7450125927
464	0.7447385015
465	0.7446541349
466	0.744268901
467	0.7440018739
468	0.7435479355
469	0.7433063338
470	0.742937589
471	0.7426064258
472	0.7422590709
473	0.7418139241
474	0.741479897
475	0.7412834702
476	0.7409803362
477	0.7406362886
478	0.7402479028
479	0.7400553779
480	0.7398568707
481	0.7396734392
482	0.7395252284
483	0.7392553362
484	0.7389024439
485	0.7385659491
486	0.7383034029
487	0.7379830746
488	0.7377675795
489	0.7376111695
490	0.7373731179
491	0.7370730143
492	0.7367910948
493	0.7363839948
494	0.7361876307
495	0.7359877705
496	0.7354465168
497	0.7351151939
498	0.7348487723
499	0.7344746666
500	0.7340267613
501	0.733833561
502	0.7335583044
503	0.7332556652
504	0.7328512899
505	0.7325006862
506	0.7322817529
507	0.7320023207
508	0.7316629174
509	0.7313770448
510	0.7311833742
511	0.7307885046
512	0.7303396937
513	0.7299449281
514	0.7296539344
515	0.7292737064
516	0.7289922983
517	0.7287254524
518	0.7284783598
519	0.7282768468
520	0.7278518636
521	0.7275371128
522	0.7272406519
523	0.7269747232
524	0.7266202814
525	0.7263510075
526	0.7259462309
527	0.7256654056
528	0.7254960964
529	0.7251893684
530	0.7249569335
531	0.7247211161
532	0.7245577255
533	0.7244014077
534	0.7240040908
535	0.7236369876
536	0.72337821
537	0.7229294736
538	0.7226574855
539	0.7223357434
540	0.721939086
541	0.7216031738
542	0.7213722908
543	0.7212413084
544	0.7210465955
545	0.7205416359
546	0.7201010952
547	0.7198149374
548	0.7195484484
549	0.7192105748
550	0.7187798576
551	0.7184932394
552	0.7181265687
553	0.7176868939
554	0.717374511
555	0.7168980364
556	0.7166395073
557	0.716303438
558	0.7158916894
559	0.715751269
560	0.7153329815
561	0.7148960508
562	0.7147488201
563	0.7145810634
564	0.7144945891
565	0.7142545961
566	0.7137541871
567	0.7132736189
568	0.7128895691
569	0.7127304811
570	0.7124516727
571	0.7121184841
572	0.711913454
573	0.7116853976
574	0.7113485046
575	0.7111664642
576	0.7109053268
577	0.710484107
578	0.7102176524
579	0.7098206987
580	0.7094522525
581	0.709000888
582	0.7088819864
583	0.7086965885
584	0.7085390639
585	0.7082894599
586	0.7079428472
587	0.7075820833
588	0.7072951668
589	0.7071282105
590	0.7068946493
591	0.7066003007
592	0.7064298247
593	0.7062116771
594	0.7060626168
595	0.7059522717
596	0.7056959044
597	0.7054463653
598	0.7051607624
599	0.7049366131
600	0.7046567371
601	0.7043093523
602	0.7040462802
603	0.7037419049
604	0.7035206504
605	0.7030997247
606	0.7029779308
607	0.7027505375
608	0.7023994628
609	0.7021348101
610	0.7019191399
611	0.7016326514
612	0.7014288774
613	0.701041571
614	0.7006808183
615	0.7004032852
616	0.7000363638
617	0.6997082295
618	0.6995493882
619	0.6990233819
620	0.6988845324
621	0.6986604747
622	0.6984586486
623	0.6981925873
624	0.697799449
625	0.6974313483
626	0.6971449063
627	0.6968782262
628	0.6966443836
629	0.6963952601
630	0.6960888747
631	0.6957199005
632	0.6954552363
633	0.695157896
634	0.6949094759
635	0.6944851838
636	0.6942089743
637	0.6937910144
638	0.6933590759
639	0.6932007449
640	0.6928983749
641	0.6925356436
642	0.6921520839
643	0.6916895997
644	0.6913075649
645	0.6909780029
646	0.6906797585
647	0.6904420524
648	0.6900478268
649	0.6899422069
650	0.6896883398
651	0.6892075863
652	0.6889916198
653	0.6887268399
654	0.6886045414
655	0.6882423839
656	0.6879771439
657	0.6876886234
658	0.6874846614
659	0.6871178344
660	0.6868583478
661	0.6863559491
662	0.686121935
663	0.6857444005
664	0.6854793515
665	0.684951261
666	0.684771387
667	0.6846743813
668	0.6845515189
669	0.6843328346
670	0.6838436282
671	0.6835250764
672	0.6833563631
673	0.6830036877
674	0.6825659313
675	0.6823970063
676	0.6819767104
677	0.6817028835
678	0.6813370635
679	0.6810876037
680	0.6808732501
681	0.6803765312
682	0.6802078777
683	0.6798809886
684	0.6795991969
685	0.679353546
686	0.6790292793
687	0.678785934
688	0.6784695256
689	0.6781421519
690	0.6778321888
691	0.6776971425
692	0.6773395897
693	0.6770816161
694	0.6766662531
695	0.6762990722
696	0.6759515609
697	0.6757785414
698	0.6755633809
699	0.6752661735
700	0.6749718314
701	0.6746380095
702	0.6743311009
703	0.6740367788
704	0.6737352161
705	0.6735317856
706	0.6732161822
707	0.672951137
708	0.6727286737
709	0.6723630974
710	0.6721185943
711	0.6718872004
712	0.6716194693
713	0.671266348
714	0.6709050554
715	0.6704251208
716	0.6702135028
717	0.669993831
718	0.6697139262
719	0.6695287802
720	0.6692810716
721	0.6689463643
722	0.6688197512
723	0.6684992373
724	0.6682701013
725	0.6679524848
726	0.6676897268
727	0.6673645321
728	0.6670701683
729	0.6666904941
730	0.6664821177
731	0.6661843082
732	0.6658442586
733	0.6654860824
734	0.6652145905
735	0.6647901255
736	0.664581025
737	0.6644912753
738	0.6642173458
739	0.6638297988
740	0.6635029825
741	0.6632904896
742	0.6630495856
743	0.6626705358
744	0.6623199451
745	0.6621009189
746	0.6617943278
747	0.6615974628
748	0.6613340861
749	0.6610598693
750	0.6607928111
751	0.6606471031
752	0.6603402305
753	0.6602019887
754	0.659934788
755	0.6596436057
756	0.6593623755
757	0.6590861584
758	0.6587715927
759	0.6585359002
760	0.6581889516
761	0.6580069273
762	0.6576562361
763	0.6573844586
764	0.6571712833
765	0.6569108377
766	0.6567104343
767	0.6563349942
768	0.6561474091
769	0.6559119082
770	0.6556533688
771	0.6552956323
772	0.655062308
773	0.6547976582
774	0.6545402976
775	0.6542026717
776	0.6540609903
777	0.6538612718
778	0.6537012681
779	0.653402849
780	0.6530848248
781	0.6526633665
782	0.6523429758
783	0.6519894585
784	0.6519022245
785	0.6517846265
786	0.651483454
787	0.6511142817
788	0.6507460028
789	0.6504726603
790	0.6500935067
791	0.6497400896
792	0.6493764059
793	0.6491104493
794	0.648847277
795	0.6486584706
796	0.6482492706
797	0.6480640177
798	0.6478394113
799	0.6476230395
800	0.6473519092
801	0.6471208785
802	0.6469238134
803	0.6466269535
804	0.6463566603
805	0.6460538577
806	0.6458296097
807	0.6455645709
808	0.6453601616
809	0.6450251095
810	0.6446972438
811	0.6444916828
812	0.6442794282
813	0.6441547974
814	0.6438574751
815	0.6435701163
816	0.6432462925
817	0.6429662793
818	0.6426426605
819	0.6424054938
820	0.6422005763
821	0.6418672482
822	0.6415649349
823	0.6412412385
824	0.6409850193
825	0.6406600873
826	0.6401641805
827	0.6398697167
828	0.6395173853
829	0.6391452622
830	0.6388631825
831	0.6384592028
832	0.638071624
833	0.6377931312
834	0.6375269053
835	0.6373346698
836	0.6368831066
837	0.6366953606
838	0.6364623611
839	0.6363885048
840	0.6362300813
841	0.6358277043
842	0.6356237387
843	0.6354299294
844	0.6352707761
845	0.6350129715
846	0.6347647322
847	0.6343778715
848	0.6339574037
849	0.6337275662
850	0.6335793241
851	0.6333633329
852	0.6330775318
853	0.6327665276
854	0.6326524905
855	0.632396668
856	0.632197831
857	0.6320803508
858	0.63189084
859	0.6313977942
860	0.6311883946
861	0.6307798661
862	0.6304392901
863	0.6301688663
864	0.6299353636
865	0.629604031
866	0.6293342831
867	0.6290200213
868	0.6286948749
869	0.628449558
870	0.6282301848
871	0.6278526084
872	0.6276496498
873	0.6272092419
874	0.6270678355
875	0.6268886451
876	0.6266350048
877	0.6263799605
878	0.6261411456
879	0.6258079185
880	0.625497702
881	0.6251757678
882	0.6249649904
883	0.6247264063
884	0.6243830613
885	0.6241235222
886	0.6238976638
887	0.6235696397
888	0.6231773811
889	0.6228581175
890	0.6226117069
891	0.6224028569
892	0.6222251439
893	0.6218053205
894	0.6217186767
895	0.6214007013
896	0.621277005
897	0.621055825
898	0.6208110997
899	0.620531683
900	0.6201807416
901	0.6200625375
902	0.6196707557
903	0.6192536717
904	0.6190678438
905	0.6187637204
906	0.6184804577
907	0.6183028747
908	0.6181286853
909	0.6178975038
910	0.6177331443
911	0.6176636105
912	0.6173376575
913	0.6172418765
914	0.6169174503
915	0.6166387372
916	0.6164615562
917	0.6161907702
918	0.6158882208
919	0.615748606
920	0.6155844117
921	0.6154701783
922	0.6152044807
923	0.6148906087
924	0.6145284061
925	0.6145255754
926	0.6141269092
927	0.6138280993
928	0.6134029016
929	0.6130806313
930	0.6129951878
931	0.612642519
932	0.6123573812
933	0.6120410897
934	0.6119704531
935	0.6118060268
936	0.6116561856
937	0.6113714578
938	0.6110834013
939	0.6107449406
940	0.610529933
941	0.6102712479
942	0.6099401289
943	0.6095086986
944	0.6092185587
945	0.6089727254
946	0.6087122885
947	0.6084320951
948	0.6081852545
949	0.6077770021
950	0.6075284674
951	0.6073724418
952	0.6071114822
953	0.6069248932
954	0.606755393
955	0.6065238831
956	0.6062938629
957	0.6059976511
958	0.6057095783
959	0.6056571682
960	0.6053279503
961	0.6050812229
962	0.6048799821
963	0.6046511342
964	0.6043884067
965	0.6041873692
966	0.6040411026
967	0.6038617712
968	0.6035404519
969	0.6032211231
970	0.6030278421
971	0.6028174552
972	0.6026692508
973	0.6023861529
974	0.602183054
975	0.6020456944
976	0.6017951429
977	0.6015076166
978	0.6012667128
979	0.601036755
980	0.6007610125
981	0.600527479
982	0.6002271871
983	0.5999265738
984	0.5997665604
985	0.5996095648
986	0.5994974801
987	0.5991370935
988	0.5987833159
989	0.5986959587
990	0.5985332595
991	0.5982643808
992	0.5980845656
993	0.597802849
994	0.5974991407
995	0.5972374971
996	0.5968939469
997	0.5966355474
998	0.5964540239
999	0.5961518058
