iter	Passed	Remaining
401	13379	19902
402	13411	19867
403	13443	19832
404	13475	19797
405	13511	19768
406	13543	19733
407	13577	19700
408	13608	19664
409	13641	19629
410	13676	19599
411	13708	19564
412	13740	19529
413	13773	19495
414	13803	19458
415	13839	19427
416	13870	19392
417	13904	19359
418	13939	19329
419	13973	19296
420	14007	19264
421	14039	19229
422	14071	19193
423	14103	19159
424	14136	19125
425	14171	19094
426	14203	19059
427	14234	19023
428	14266	18988
429	14298	18953
430	14332	18921
431	14365	18887
432	14398	18854
433	14439	18831
434	14486	18815
435	14535	18803
436	14579	18783
437	14624	18764
438	14673	18751
439	14715	18728
440	14762	18712
441	14805	18690
442	14844	18664
443	14877	18630
444	14909	18595
445	14944	18563
446	14978	18530
447	15015	18501
448	15059	18480
449	15104	18461
450	15151	18444
451	15198	18426
452	15246	18409
453	15290	18388
454	15333	18366
455	15380	18348
456	15414	18315
457	15447	18280
458	15479	18244
459	15510	18207
460	15544	18174
461	15577	18140
462	15611	18106
463	15645	18073
464	15678	18039
465	15726	18021
466	15770	17998
467	15814	17977
468	15857	17954
469	15907	17938
470	15954	17918
471	16006	17905
472	16049	17882
473	16085	17849
474	16118	17815
475	16153	17782
476	16185	17746
477	16217	17710
478	16260	17686
479	16295	17653
480	16330	17620
481	16362	17584
482	16395	17549
483	16428	17514
484	16460	17478
485	16495	17445
486	16528	17410
487	16562	17376
488	16598	17345
489	16634	17313
490	16684	17295
491	16716	17260
492	16749	17225
493	16783	17190
494	16818	17158
495	16865	17137
496	16911	17115
497	16955	17091
498	16995	17063
499	17034	17034
500	17076	17008
501	17110	16974
502	17144	16939
503	17177	16905
504	17211	16870
505	17248	16839
506	17280	16803
507	17312	16767
508	17345	16731
509	17376	16695
510	17410	16661
511	17445	16627
512	17477	16591
513	17511	16557
514	17559	16536
515	17596	16505
516	17639	16479
517	17684	16455
518	17736	16437
519	17781	16413
520	17821	16385
521	17856	16351
522	17890	16317
523	17923	16281
524	17957	16247
525	17995	16216
526	18029	16181
527	18062	16146
528	18099	16115
529	18135	16082
530	18170	16048
531	18204	16014
532	18238	15980
533	18271	15945
534	18307	15912
535	18344	15880
536	18387	15853
537	18429	15826
538	18476	15802
539	18520	15776
540	18568	15753
541	18610	15726
542	18651	15697
543	18692	15668
544	18737	15642
545	18782	15617
546	18826	15590
547	18868	15562
548	18908	15533
549	18954	15508
550	19003	15485
551	19047	15458
552	19085	15426
553	19133	15403
554	19178	15377
555	19224	15351
556	19269	15325
557	19314	15299
558	19357	15271
559	19402	15244
560	19450	15220
561	19492	15191
562	19533	15162
563	19576	15133
564	19616	15103
565	19662	15076
566	19699	15043
567	19731	15007
568	19764	14970
569	19796	14934
570	19830	14899
571	19861	14861
572	19893	14825
573	19927	14789
574	19962	14754
575	19998	14721
576	20040	14691
577	20085	14664
578	20129	14636
579	20175	14609
580	20226	14586
581	20275	14561
582	20317	14532
583	20369	14509
584	20402	14473
585	20437	14438
586	20469	14401
587	20501	14364
588	20533	14327
589	20565	14290
590	20599	14255
591	20633	14220
592	20665	14183
593	20697	14146
594	20728	14109
595	20763	14074
596	20796	14038
597	20828	14001
598	20859	13964
599	20893	13929
600	20928	13894
601	20960	13857
602	20992	13820
603	21024	13784
604	21057	13748
605	21094	13714
606	21127	13679
607	21159	13642
608	21193	13606
609	21224	13569
610	21261	13536
611	21293	13499
612	21326	13463
613	21359	13428
614	21393	13392
615	21430	13359
616	21465	13324
617	21500	13289
618	21534	13254
619	21572	13222
620	21610	13188
621	21649	13156
622	21685	13122
623	21718	13087
624	21754	13052
625	21791	13019
626	21830	12987
627	21868	12954
628	21905	12920
629	21941	12885
630	21979	12853
631	22015	12819
632	22053	12786
633	22088	12751
634	22129	12719
635	22168	12687
636	22204	12653
637	22238	12618
638	22273	12583
639	22308	12548
640	22343	12513
641	22375	12477
642	22412	12443
643	22451	12410
644	22490	12378
645	22530	12346
646	22563	12310
647	22596	12274
648	22628	12238
649	22662	12202
650	22698	12168
651	22732	12133
652	22765	12097
653	22797	12061
654	22830	12025
655	22866	11990
656	22899	11955
657	22933	11919
658	22967	11884
659	23002	11849
660	23038	11815
661	23073	11780
662	23109	11746
663	23145	11712
664	23180	11677
665	23235	11652
666	23269	11617
667	23302	11581
668	23333	11544
669	23364	11508
670	23400	11473
671	23433	11437
672	23467	11402
673	23501	11367
674	23538	11333
675	23586	11304
676	23632	11275
677	23679	11246
678	23723	11215
679	23767	11184
680	23812	11154
681	23856	11123
682	23900	11092
683	23939	11059
684	23973	11024
685	24009	10989
686	24043	10954
687	24075	10917
688	24107	10881
689	24141	10846
690	24178	10811
691	24211	10776
692	24246	10741
693	24282	10706
694	24315	10670
695	24355	10637
696	24392	10604
697	24426	10568
698	24460	10533
699	24494	10497
700	24533	10464
701	24566	10428
702	24599	10392
703	24633	10357
704	24666	10321
705	24703	10287
706	24737	10251
707	24772	10217
708	24808	10182
709	24842	10146
710	24880	10113
711	24914	10077
712	24948	10042
713	24980	10006
714	25014	9970
715	25050	9936
716	25083	9900
717	25118	9865
718	25151	9829
719	25185	9794
720	25226	9761
721	25261	9726
722	25296	9691
723	25334	9657
724	25371	9623
725	25413	9591
726	25453	9558
727	25493	9524
728	25532	9491
729	25568	9456
730	25611	9424
731	25649	9390
732	25686	9356
733	25722	9321
734	25756	9286
735	25796	9252
736	25830	9217
737	25865	9182
738	25901	9147
739	25936	9112
740	25974	9078
